exporter,importer,commodity,mode,year,source,value_usd
Spain,Cyprus,Fertilizer,Sea,2022,UN Comtrade public preview,1675436.174
Poland,Australia,Fertilizer,Sea,2022,UN Comtrade public preview,1656322.498
Turkey,Mauritius,Fertilizer,Sea,2022,UN Comtrade public preview,1635123.168
China,Czechia,Fertilizer,Rail,2022,UN Comtrade public preview,1607308.0
Iran,Bulgaria,Fertilizer,Road,2022,UN Comtrade public preview,1603123.052
Belarus,Moldova,Fertilizer,Road,2022,UN Comtrade public preview,1587680.0
Japan,Myanmar,Fertilizer,Sea,2022,UN Comtrade public preview,1527273.4
Slovenia,Czechia,Fertilizer,Road,2022,UN Comtrade public preview,1516942.0
Slovakia,Romania,Fertilizer,Sea,2022,UN Comtrade public preview,1510855.42
Israel,Romania,Fertilizer,Sea,2022,UN Comtrade public preview,1504959.74
Russia,Montenegro,Fertilizer,Road,2022,UN Comtrade public preview,1493694.556
Algeria,Czechia,Fertilizer,Road,2022,UN Comtrade public preview,1488878.0
Israel,Angola,Fertilizer,Sea,2022,UN Comtrade public preview,1479398.177
Bulgaria,Czechia,Fertilizer,Road,2022,UN Comtrade public preview,1424902.0
Brazil,Angola,Fertilizer,Sea,2022,UN Comtrade public preview,1396039.828
Italy,Cyprus,Fertilizer,Sea,2022,UN Comtrade public preview,1385397.096
Finland,Australia,Fertilizer,Sea,2022,UN Comtrade public preview,1371222.316
Paraguay,Bolivia,Fertilizer,Road,2022,UN Comtrade public preview,1352416.0
Hong Kong,Australia,Fertilizer,Sea,2022,UN Comtrade public preview,1331444.78
Israel,Mauritius,Fertilizer,Sea,2022,UN Comtrade public preview,1277069.272
Egypt,Angola,Fertilizer,Sea,2022,UN Comtrade public preview,1257556.814
Romania,Czechia,Fertilizer,Road,2022,UN Comtrade public preview,1233296.0
China,Moldova,Fertilizer,Road,2022,UN Comtrade public preview,1222700.0
Togo,Burkina Faso,Fertilizer,Road,2022,UN Comtrade public preview,1216102.497
Hungary,North Macedonia,Fertilizer,Road,2022,UN Comtrade public preview,1207076.7
Bulgaria,North Macedonia,Fertilizer,Rail,2022,UN Comtrade public preview,1175041.81
Malaysia,Brunei,Fertilizer,Sea,2022,UN Comtrade public preview,1150725.288
Netherlands,Montenegro,Fertilizer,Road,2022,UN Comtrade public preview,1150112.032
Canada,Bolivia,Fertilizer,Road,2022,UN Comtrade public preview,1125641.0
Slovenia,Romania,Fertilizer,Road,2022,UN Comtrade public preview,1124510.54
Serbia,North Macedonia,Fertilizer,Road,2022,UN Comtrade public preview,1102523.55
Mexico,Angola,Fertilizer,Sea,2022,UN Comtrade public preview,1082097.892
Malaysia,Mauritius,Fertilizer,Sea,2022,UN Comtrade public preview,1057682.78
Slovakia,Bulgaria,Fertilizer,Road,2022,UN Comtrade public preview,1054959.428
Finland,Montenegro,Fertilizer,Road,2022,UN Comtrade public preview,1054264.992
Austria,North Macedonia,Fertilizer,Road,2022,UN Comtrade public preview,1042223.53
Peru,Colombia,Fertilizer,Road,2022,UN Comtrade public preview,1017271.04
Vietnam,Angola,Fertilizer,Sea,2022,UN Comtrade public preview,1002755.555
Chile,Colombia,Fertilizer,Road,2022,UN Comtrade public preview,997057.88
Ukraine,Moldova,Fertilizer,Road,2022,UN Comtrade public preview,988318.0
Slovakia,Australia,Fertilizer,Sea,2022,UN Comtrade public preview,976484.084
Portugal,Bulgaria,Fertilizer,Road,2022,UN Comtrade public preview,942091.682
